Stature,Head breadth,Head depth,Head circumference,Face length
1812.0,157.0,204.0,595.0,129.0
1854.0,149.0,205.0,578.0,129.0
1781.0,146.0,205.0,575.0,115.0
1648.0,132.0,191.0,539.0,113.0
1749.0,156.0,207.0,586.0,112.0
1749.0,144.0,200.0,558.0,108.0
1813.0,156.0,210.0,602.0,120.0
1607.0,147.0,191.0,552.0,126.0
1614.0,145.0,193.0,546.0,111.0
1876.0,161.0,218.0,617.0,129.0
1730.0,146.0,209.0,575.0,125.0
1717.0,157.0,202.0,576.0,122.0
1759.0,150.0,196.0,568.0,115.0
1765.0,153.0,208.0,583.0,123.0
1817.0,160.0,201.0,585.0,124.0
1800.0,166.0,195.0,586.0,118.0
1810.0,151.0,205.0,580.0,114.0
1792.0,149.0,211.0,592.0,125.0
1657.0,159.0,195.0,575.0,125.0
1781.0,155.0,192.0,564.0,115.0
1832.0,147.0,204.0,576.0,119.0
1602.0,147.0,177.0,532.0,109.0
1719.0,155.0,195.0,566.0,122.0
1831.0,155.0,206.0,597.0,128.0
1741.0,150.0,208.0,577.0,120.0
1810.0,151.0,199.0,570.0,113.0
1860.0,157.0,207.0,588.0,125.0
1728.0,150.0,200.0,568.0,117.0
1694.0,142.0,199.0,562.0,117.0
1907.0,155.0,195.0,572.0,134.0
1791.0,148.0,205.0,576.0,126.0
1576.0,151.0,187.0,555.0,108.0
1631.0,152.0,188.0,557.0,119.0
1821.0,157.0,204.0,589.0,124.0
1725.0,154.0,200.0,587.0,117.0
1591.0,143.0,189.0,541.0,107.0
1625.0,143.0,189.0,542.0,109.0
1717.0,162.0,196.0,582.0,116.0
1770.0,158.0,196.0,571.0,119.0
1607.0,146.0,176.0,536.0,103.0
1705.0,144.0,200.0,563.0,110.0
1600.0,166.0,195.0,589.0,122.0
1620.0,146.0,186.0,547.0,108.0
1659.0,150.0,179.0,534.0,106.0
1711.0,147.0,196.0,566.0,112.0
1665.0,157.0,204.0,581.0,119.0
1601.0,144.0,184.0,536.0,107.0
1798.0,150.0,197.0,569.0,127.0
1627.0,143.0,184.0,536.0,109.0
1641.0,147.0,198.0,545.0,111.0
1624.0,140.0,176.0,531.0,114.0
1815.0,152.0,210.0,595.0,121.0
1812.0,160.0,214.0,613.0,137.0
1714.0,159.0,192.0,569.0,114.0
1805.0,152.0,196.0,569.0,126.0
1820.0,151.0,203.0,581.0,123.0
1617.0,142.0,182.0,532.0,107.0
1780.0,143.0,212.0,582.0,112.0
1752.0,161.0,219.0,617.0,119.0
1795.0,165.0,206.0,605.0,118.0
1779.0,156.0,198.0,578.0,108.0
1732.0,158.0,196.0,582.0,116.0
1826.0,153.0,207.0,581.0,102.0
1699.0,163.0,187.0,562.0,125.0
1756.0,137.0,191.0,551.0,126.0
1754.0,169.0,200.0,610.0,118.0
1765.0,154.0,190.0,556.0,121.0
1796.0,152.0,200.0,560.0,117.0
1575.0,146.0,180.0,545.0,108.0
1705.0,166.0,194.0,582.0,115.0
1760.0,145.0,205.0,575.0,122.0
1795.0,159.0,211.0,606.0,118.0
