Stature,Head breadth,Head depth,Head circumference,Face length
1594.0,140.0,185.0,530.0,112.0
1635.0,144.0,183.0,549.0,113.0
1552.0,147.0,186.0,555.0,111.0
1609.0,146.0,178.0,534.0,121.0
1625.0,154.0,190.0,553.0,110.0
1533.0,142.0,193.0,544.0,106.0
1651.0,152.0,187.0,540.0,115.0
1727.0,142.0,187.0,555.0,113.0
1764.0,155.0,201.0,569.0,127.0
1607.0,160.0,189.0,565.0,103.0
1780.0,152.0,206.0,585.0,127.0
1676.0,152.0,190.0,535.0,129.0
1588.0,152.0,177.0,538.0,117.0
1673.0,151.0,208.0,586.0,123.0
1484.0,146.0,181.0,530.0,112.0
1735.0,155.0,190.0,560.0,108.0
1733.0,155.0,194.0,558.0,123.0
1745.0,153.0,188.0,550.0,111.0
1535.0,151.0,178.0,525.0,111.0
1820.0,155.0,184.0,557.0,122.0
1708.0,163.0,197.0,576.0,121.0
1795.0,170.0,198.0,595.0,122.0
1694.0,147.0,178.0,542.0,116.0
1761.0,152.0,200.0,576.0,124.0
1650.0,158.0,197.0,576.0,118.0
1777.0,152.0,194.0,569.0,130.0
1630.0,154.0,182.0,550.0,103.0
1659.0,155.0,185.0,560.0,118.0
1727.0,155.0,185.0,550.0,116.0
1629.0,139.0,176.0,515.0,104.0
1620.0,152.0,190.0,566.0,121.0
1662.0,151.0,182.0,532.0,111.0
1704.0,149.0,192.0,585.0,123.0
1715.0,155.0,193.0,563.0,127.0
1636.0,146.0,190.0,546.0,112.0
1783.0,158.0,212.0,599.0,121.0
1598.0,149.0,186.0,545.0,111.0
1646.0,156.0,186.0,567.0,111.0
1700.0,156.0,197.0,572.0,127.0
1676.0,160.0,197.0,576.0,119.0
1810.0,159.0,182.0,546.0,115.0
1738.0,163.0,195.0,575.0,119.0
1685.0,144.0,191.0,532.0,113.0
1572.0,152.0,183.0,552.0,117.0
1665.0,145.0,192.0,552.0,113.0
1670.0,162.0,193.0,565.0,123.0
1807.0,162.0,190.0,564.0,123.0
1568.0,145.0,187.0,544.0,102.0
1492.0,148.0,182.0,542.0,109.0
1467.0,150.0,183.0,539.0,103.0
1664.0,137.0,182.0,533.0,112.0
1540.0,154.0,192.0,550.0,107.0
1558.0,145.0,185.0,540.0,118.0
1605.0,144.0,189.0,550.0,112.0
1669.0,162.0,195.0,572.0,118.0
1774.0,152.0,203.0,580.0,127.0
1720.0,157.0,200.0,565.0,126.0
