"Reach height, standing",Stature,"Eye height, standing","Elbow height, standing","Thigh clearance, sitting","Elbow height, sitting","Popliteal height, sitting","Eye height, sitting",Sitting height,Reach depth,Breadth over the elbows,Hip breadth,"Hip breadth, sitting",Chest depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting","Buttock foot length, sitting",Hand length,Forefinger breadth,Hand width (with thumb),Hand thickness,Length pointing finger,Body mass,Maximum gripping force
2257.0,1886.0,1749.0,767.0,146.0,229.0,538.0,857.0,972.0,788.0,441.0,345.0,343.0,249.0,391.0,515.0,656.0,1150.0,195.0,15.0,100.0,30.0,74.0,79.4,53.0
2148.0,1815.0,1679.0,735.0,143.0,232.0,503.0,816.0,925.0,820.0,435.0,326.0,346.0,220.0,361.0,505.0,644.0,1152.0,188.0,15.0,102.0,28.0,74.0,70.3,52.0
2024.0,1711.0,1594.0,661.0,136.0,207.0,454.0,792.0,927.0,713.0,427.0,318.0,335.0,214.0,335.0,458.0,575.0,1014.0,172.0,15.0,98.0,27.0,68.0,63.8,48.0
2408.0,1984.0,1837.0,788.0,134.0,236.0,552.0,888.0,1015.0,847.0,417.0,356.0,379.0,228.0,398.0,539.0,691.0,1215.0,203.0,15.0,108.0,26.0,80.0,80.4,46.0
2163.0,1788.0,1655.0,770.0,140.0,280.0,490.0,818.0,952.0,747.0,426.0,333.0,339.0,215.0,356.0,483.0,623.0,1085.0,183.0,15.0,102.0,29.0,69.0,68.5,56.0
2295.0,1884.0,1758.0,729.0,150.0,212.0,517.0,863.0,976.0,821.0,435.0,356.0,358.0,241.0,383.0,541.0,664.0,1148.0,196.0,18.0,108.0,33.0,81.0,78.3,66.0
2302.0,1870.0,1732.0,748.0,123.0,233.0,515.0,848.0,962.0,777.0,390.0,343.0,347.0,227.0,383.0,516.0,667.0,1135.0,199.0,16.0,111.0,26.0,83.0,67.9,54.0
2026.0,1719.0,1596.0,685.0,134.0,214.0,471.0,768.0,899.0,761.0,403.0,315.0,334.0,219.0,324.0,475.0,616.0,1079.0,174.0,13.0,97.0,26.0,75.0,59.8,35.0
2274.0,1890.0,1756.0,775.0,125.0,260.0,515.0,868.0,995.0,802.0,424.0,353.0,347.0,211.0,380.0,520.0,649.0,1148.0,205.0,18.0,103.0,30.0,78.0,70.8,54.0
2178.0,1804.0,1669.0,680.0,167.0,200.0,480.0,827.0,922.0,760.0,487.0,355.0,380.0,251.0,358.0,512.0,643.0,1092.0,191.0,16.0,107.0,27.0,78.0,87.7,58.0
2105.0,1780.0,1665.0,1092.0,126.0,240.0,,804.0,930.0,702.0,436.0,358.0,406.0,225.0,348.0,525.0,625.0,1065.0,185.0,11.0,93.0,26.0,70.0,67.7,40.0
2273.0,1870.0,1723.0,758.0,135.0,238.0,520.0,837.0,973.0,769.0,427.0,347.0,358.0,227.0,363.0,492.0,635.0,1138.0,194.0,16.0,102.0,28.0,76.0,68.7,48.0
2111.0,1813.0,1684.0,721.0,124.0,221.0,500.0,804.0,931.0,736.0,426.0,335.0,352.0,217.0,346.0,520.0,638.0,1096.0,189.0,15.0,102.0,29.0,72.0,67.6,46.0
2209.0,1815.0,1677.0,717.0,127.0,215.0,502.0,804.0,924.0,776.0,438.0,321.0,337.0,234.0,374.0,492.0,635.0,1101.0,187.0,16.0,110.0,28.0,71.0,69.0,52.0
2163.0,1752.0,1635.0,702.0,126.0,217.0,485.0,778.0,897.0,756.0,449.0,323.0,356.0,237.0,359.0,500.0,625.0,1085.0,191.0,15.0,103.0,27.0,72.0,66.8,51.0
2092.0,1736.0,1621.0,670.0,140.0,186.0,484.0,751.0,872.0,764.0,449.0,338.0,358.0,231.0,353.0,506.0,655.0,1108.0,192.0,16.0,97.0,28.0,74.0,71.9,61.0
2093.0,1722.0,1608.0,697.0,130.0,227.0,470.0,804.0,908.0,701.0,345.0,352.0,361.0,231.0,341.0,500.0,611.0,1036.0,182.0,14.0,95.0,26.0,75.0,56.4,35.0
2160.0,1803.0,1673.0,701.0,137.0,219.0,482.0,769.0,908.0,745.0,470.0,376.0,416.0,238.0,339.0,550.0,667.0,1125.0,189.0,14.0,99.0,23.0,75.0,75.9,34.0
