Stature,Arm length,Shoulder breadth (bi-deltoid),Head breadth,Head depth,Head circumference,Neck base circumference,Chest circumference,Waist circumference,Hip circumference,Body mass,Crotch height,Thigh circumference,Face length,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Bigonial breadth,Bitragion breadth,Nasal root protrusion,Relative Nasal Tip Protrusion
1630.0,548.0,383.0,140.0,185.0,540.0,424.0,851.0,800.0,1009.0,61.7,753.0,583.0,119.0,24.566,51.171,44.441,23.901,33.424,107.627,145.452,17.155,46.708
1702.0,599.0,484.0,152.0,192.0,569.0,557.0,1128.0,981.0,1035.0,86.6,772.0,602.0,114.0,27.108,51.904,43.51,19.987,36.097,141.954,154.083,14.263,38.508
1680.0,591.0,383.0,141.0,182.0,521.0,445.0,845.0,679.0,965.0,57.6,815.0,570.0,124.0,24.922,50.938,43.091,20.397,34.14,109.565,143.805,16.747,40.042
1760.0,620.0,435.0,154.0,194.0,575.0,447.0,1045.0,847.0,1119.0,86.6,840.0,668.0,121.0,26.573,55.979,47.227,21.322,35.144,117.629,152.676,14.377,38.089
1598.0,559.0,436.0,150.0,176.0,532.0,430.0,920.0,762.0,1099.0,68.6,788.0,671.0,117.0,24.667,46.038,42.42,21.187,34.596,123.394,152.595,12.589,46.021
1545.0,544.0,394.0,147.0,180.0,537.0,421.0,886.0,725.0,980.0,56.8,721.0,570.0,103.0,25.08,50.986,41.072,16.897,37.887,126.762,138.89,9.408,33.14
1900.0,699.0,493.0,156.0,190.0,564.0,502.0,1011.0,896.0,1057.0,85.1,886.0,609.0,118.0,31.004,53.56,42.126,21.61,39.378,125.782,161.913,15.258,40.348
1672.0,561.0,496.0,148.0,186.0,546.0,510.0,1220.0,1135.0,1206.0,101.6,792.0,661.0,113.0,26.611,46.109,36.685,17.652,34.632,119.691,144.877,14.951,38.282
1881.0,655.0,477.0,160.0,190.0,570.0,514.0,1019.0,1014.0,1045.0,89.0,918.0,621.0,131.0,25.883,52.427,42.26,19.465,37.607,122.505,156.542,17.848,37.127
1884.0,726.0,427.0,143.0,191.0,567.0,443.0,877.0,804.0,914.0,64.4,952.0,476.0,121.0,22.749,48.194,40.838,20.045,35.147,122.945,142.953,13.562,41.593
1732.0,584.0,403.0,137.0,191.0,540.0,402.0,894.0,755.0,926.0,58.9,879.0,540.0,106.0,25.885,50.291,41.333,21.047,34.265,101.986,137.899,13.853,41.85
1699.0,560.0,458.0,146.0,181.0,542.0,420.0,1003.0,884.0,1122.0,82.2,753.0,675.0,109.0,27.303,44.56,38.42,19.285,38.128,120.45,145.195,12.935,43.277
1930.0,690.0,476.0,154.0,195.0,580.0,496.0,990.0,940.0,999.0,88.1,965.0,625.0,128.0,28.177,54.394,45.768,20.41,39.45,121.837,160.651,17.873,37.522
1811.0,622.0,498.0,148.0,200.0,572.0,511.0,1033.0,845.0,1011.0,80.9,864.0,569.0,126.0,27.61,49.543,38.536,19.962,36.677,121.323,150.844,16.792,40.293
1787.0,585.0,495.0,147.0,194.0,570.0,514.0,1018.0,961.0,1072.0,87.8,813.0,646.0,121.0,22.356,51.601,43.112,19.492,33.362,116.217,142.783,13.898,37.774
1763.0,622.0,468.0,147.0,193.0,557.0,449.0,1105.0,1003.0,1233.0,103.7,828.0,740.0,103.0,29.721,49.856,40.679,18.706,36.013,114.929,146.803,12.063,37.52
1645.0,584.0,462.0,145.0,185.0,544.0,456.0,1156.0,1022.0,1190.0,98.4,758.0,770.0,111.0,24.004,49.071,43.181,20.624,34.722,118.888,144.192,15.391,42.028
1706.0,592.0,464.0,156.0,188.0,572.0,552.0,1230.0,1197.0,1234.0,110.0,763.0,720.0,114.0,28.747,54.978,46.783,19.491,38.577,131.935,165.348,13.957,35.453
1633.0,554.0,394.0,147.0,187.0,550.0,440.0,914.0,726.0,970.0,58.0,765.0,546.0,111.0,20.999,51.716,44.887,20.616,35.595,104.315,140.768,14.509,39.864
1812.0,670.0,510.0,168.0,195.0,595.0,560.0,1207.0,1147.0,1130.0,108.9,855.0,604.0,124.0,31.813,50.751,44.26,21.335,45.448,128.286,170.83,16.394,42.038
1778.0,595.0,438.0,150.0,202.0,588.0,477.0,895.0,755.0,1060.0,71.1,843.0,609.0,124.0,27.735,48.39,40.293,19.699,37.66,108.323,145.394,12.172,40.708
1758.0,606.0,509.0,160.0,201.0,585.0,552.0,1060.0,977.0,1045.0,89.3,798.0,598.0,123.0,32.416,46.983,36.513,19.062,38.735,143.06,155.909,14.565,40.571
1863.0,620.0,465.0,157.0,187.0,559.0,466.0,968.0,994.0,1040.0,86.0,880.0,545.0,106.0,29.008,48.659,39.598,21.887,36.506,125.255,151.608,13.918,44.98
1603.0,564.0,392.0,145.0,182.0,533.0,399.0,852.0,706.0,910.0,52.5,774.0,504.0,110.0,22.313,48.13,41.525,19.967,30.349,109.051,144.12,12.678,41.486
1723.0,621.0,458.0,155.0,202.0,582.0,484.0,1012.0,905.0,978.0,81.1,793.0,618.0,114.0,26.799,51.78,42.96,19.109,39.886,114.928,148.88,12.869,36.904
1660.0,568.0,447.0,148.0,179.0,541.0,393.0,976.0,770.0,1090.0,69.8,796.0,656.0,116.0,23.443,51.627,43.717,20.514,33.385,109.888,156.78,15.628,39.734
1684.0,625.0,438.0,145.0,196.0,555.0,450.0,895.0,779.0,940.0,65.1,798.0,536.0,115.0,32.056,47.137,38.193,17.556,44.699,121.147,146.917,7.914,37.246
1606.0,575.0,412.0,148.0,190.0,561.0,457.0,1015.0,984.0,1078.0,76.5,754.0,617.0,114.0,29.345,46.571,40.652,20.487,37.717,109.061,152.799,10.218,43.991
1664.0,579.0,427.0,153.0,187.0,560.0,427.0,1051.0,990.0,1129.0,89.3,730.0,691.0,113.0,23.54,51.044,45.068,19.732,38.666,119.8,149.685,12.32,38.657
1658.0,596.0,389.0,150.0,165.0,538.0,396.0,826.0,695.0,1017.0,52.6,814.0,576.0,111.0,25.175,50.811,43.149,21.047,31.243,108.43,142.126,15.989,41.423
1675.0,571.0,435.0,145.0,198.0,570.0,455.0,1056.0,860.0,1196.0,86.3,763.0,699.0,112.0,25.34,52.519,44.864,21.519,34.469,113.363,152.216,16.181,40.973
1848.0,667.0,462.0,151.0,193.0,564.0,484.0,948.0,860.0,951.0,69.8,860.0,507.0,122.0,29.708,51.01,43.541,18.746,37.987,111.314,149.04,13.82,36.751
