Stature,"Eye height, standing",Shoulder height,"Elbow height, standing","Fist height, standing","Thigh clearance, sitting",Shoulder-elbow length,"Elbow height, sitting","Popliteal height, sitting","Shoulder height, sitting","Eye height, sitting",Sitting height,Reach depth,Arm length,Breadth over the elbows,Shoulder breadth (bi-deltoid),"Hip breadth, sitting",Abdominal depth,Elbow-grip length,Buttock-popliteal depth,"Buttock-knee depth, sitting",Foot length,Foot breadth,Hand length,Hand width (without thumb),Thumb breadth,Forefinger breadth,Grip circumference,Ear length,Body mass,Maximum gripping force,Pushing force with 2 hands,Pulling force 1 hand,Torque with two hands,Rotation of head towards left,Rotation of head towards right,Rotation of head backwards,Rotation of head toward chest,Bending of head towards right shoulder,Bending of head towards left shoulder,Pronation,Supination,Extension hand,Flexion hand,Radial deviation,Ulnar deviation,Forefinger flexion,Step-up height
1755.0,1641.0,1427.0,1084.0,799.0,135.0,343.0,282.0,465.0,625.0,839.0,953.0,476.0,743.0,475.0,443.0,400.0,320.0,358.0,489.0,605.0,276.0,94.0,188.0,90.0,23.0,17.0,12.0,79.0,79.8,373.0,427.0,229.0,5.0,45.0,45.0,61.0,61.0,33.0,34.0,117.0,86.0,64.0,65.0,51.0,18.0,55.0,170.0
1617.0,1510.0,1338.0,990.0,690.0,130.0,349.0,199.0,458.0,547.0,719.0,826.0,456.0,774.0,380.0,379.0,416.0,318.0,352.0,494.0,607.0,239.0,92.0,179.0,82.0,21.0,17.0,10.0,70.0,62.2,98.0,137.0,162.0,4.0,41.0,47.0,43.0,41.0,13.0,12.0,120.0,94.0,71.0,75.0,48.0,19.0,59.0,170.0
1824.0,1728.0,1520.0,1133.0,823.0,135.0,387.0,213.0,516.0,600.0,808.0,904.0,500.0,788.0,472.0,437.0,391.0,324.0,370.0,545.0,681.0,292.0,112.0,206.0,96.0,25.0,20.0,12.0,71.0,82.7,432.0,363.0,316.0,7.0,48.0,53.0,31.0,48.0,14.0,12.0,110.0,67.0,59.0,67.0,41.0,17.0,45.0,170.0
1666.0,1568.0,1358.0,1028.0,783.0,121.0,330.0,217.0,447.0,547.0,756.0,855.0,461.0,710.0,462.0,409.0,439.0,306.0,326.0,511.0,638.0,264.0,101.0,189.0,87.0,22.0,17.0,13.0,69.0,75.9,314.0,456.0,319.0,8.0,48.0,42.0,63.0,21.0,24.0,20.0,124.0,71.0,67.0,61.0,39.0,20.0,62.0,210.0
1539.0,1463.0,1267.0,942.0,687.0,126.0,325.0,193.0,409.0,518.0,714.0,790.0,425.0,627.0,420.0,398.0,386.0,289.0,333.0,467.0,612.0,222.0,94.0,170.0,77.0,20.0,16.0,10.0,72.0,56.7,78.0,137.0,125.0,3.0,42.0,39.0,57.0,15.0,27.0,18.0,112.0,51.0,46.0,46.0,25.0,8.0,54.0,120.0
1701.0,1574.0,1387.0,1031.0,745.0,162.0,356.0,195.0,440.0,551.0,739.0,866.0,472.0,792.0,512.0,440.0,469.0,378.0,337.0,554.0,687.0,256.0,97.0,185.0,84.0,20.0,15.0,12.0,69.0,96.2,196.0,265.0,248.0,5.0,57.0,68.0,67.0,34.0,36.0,27.0,137.0,81.0,61.0,68.0,47.0,25.0,43.0,170.0
1639.0,1547.0,1329.0,1015.0,714.0,146.0,314.0,239.0,420.0,554.0,772.0,863.0,434.0,663.0,449.0,406.0,401.0,277.0,317.0,531.0,627.0,242.0,92.0,185.0,81.0,18.0,16.0,13.0,66.0,62.8,216.0,245.0,207.0,4.0,66.0,72.0,68.0,31.0,36.0,30.0,137.0,64.0,72.0,79.0,42.0,26.0,51.0,170.0
1628.0,1516.0,1300.0,974.0,696.0,144.0,326.0,203.0,420.0,529.0,745.0,857.0,428.0,694.0,455.0,388.0,406.0,251.0,304.0,502.0,605.0,248.0,95.0,179.0,78.0,21.0,16.0,12.0,69.0,58.2,245.0,240.0,254.0,5.0,93.0,89.0,67.0,60.0,41.0,25.0,114.0,88.0,76.0,79.0,39.0,26.0,65.0,210.0
1670.0,1545.0,1383.0,1024.0,745.0,137.0,359.0,213.0,456.0,572.0,734.0,859.0,457.0,803.0,517.0,376.0,398.0,373.0,335.0,525.0,645.0,255.0,91.0,181.0,84.0,21.0,17.0,11.0,67.0,78.7,177.0,118.0,211.0,4.0,37.0,56.0,40.0,13.0,16.0,26.0,103.0,46.0,58.0,57.0,31.0,21.0,45.0,120.0
1708.0,1594.0,1449.0,1079.0,768.0,124.0,370.0,224.0,480.0,594.0,739.0,852.0,509.0,774.0,482.0,422.0,392.0,324.0,370.0,511.0,638.0,279.0,99.0,203.0,84.0,24.0,17.0,14.0,68.0,72.9,314.0,150.0,190.0,5.0,57.0,65.0,53.0,43.0,19.0,13.0,138.0,100.0,59.0,69.0,36.0,12.0,56.0,170.0
1681.0,1576.0,1394.0,1027.0,721.0,121.0,367.0,247.0,449.0,614.0,797.0,901.0,447.0,745.0,425.0,430.0,398.0,302.0,327.0,498.0,623.0,249.0,91.0,174.0,83.0,24.0,17.0,11.0,73.0,67.5,235.0,235.0,219.0,4.0,60.0,68.0,66.0,17.0,31.0,39.0,133.0,92.0,73.0,55.0,36.0,35.0,35.0,120.0
1868.0,1735.0,1554.0,1167.0,841.0,115.0,387.0,265.0,516.0,652.0,832.0,966.0,504.0,770.0,503.0,455.0,419.0,335.0,389.0,538.0,663.0,293.0,105.0,204.0,88.0,25.0,20.0,13.0,65.0,83.9,294.0,211.0,229.0,5.0,51.0,23.0,40.0,27.0,1.0,15.0,94.0,94.0,48.0,60.0,32.0,10.0,43.0,170.0
1594.0,1487.0,1291.0,948.0,690.0,155.0,343.0,213.0,407.0,556.0,752.0,859.0,430.0,723.0,505.0,434.0,431.0,375.0,334.0,491.0,607.0,245.0,98.0,183.0,85.0,21.0,16.0,9.0,71.0,87.0,216.0,363.0,305.0,4.0,59.0,61.0,50.0,38.0,45.0,36.0,94.0,66.0,60.0,65.0,33.0,39.0,46.0,120.0
1639.0,1545.0,1345.0,1005.0,730.0,119.0,340.0,171.0,462.0,511.0,712.0,805.0,434.0,703.0,414.0,391.0,366.0,264.0,322.0,505.0,616.0,243.0,86.0,168.0,76.0,20.0,15.0,12.0,61.0,58.6,275.0,304.0,300.0,4.0,60.0,58.0,70.0,35.0,38.0,37.0,118.0,94.0,43.0,77.0,35.0,23.0,51.0,170.0
