Stature,Head height,Head breadth,Head depth,Head circumference,Body mass,Face length,Face width,Face length long,Lower face length,Intercanthal width,Nasal root breadth,Nose length,Nose bridge length,Nasal tip protrusion,Nose width,Width of mouth,Height of chin,Face length short,Sellion promentale length
1243.0,198.0,141.0,189.0,532.0,22.0,116.64,103.0,102.98,63.23,32.02,19.17,39.75,26.98,15.988,29.7,38.94,27.22,75.76,86.07
1158.0,221.0,142.0,183.0,529.0,23.0,123.04,103.0,104.29,67.49,36.26,25.02,36.8,26.41,13.938,29.15,38.65,31.81,72.48,82.77
1226.0,204.0,148.0,173.0,524.0,29.5,123.0,118.0,104.55,61.52,31.37,21.71,43.03,28.19,18.093,32.52,39.62,26.62,77.93,85.89
1167.0,194.0,140.0,192.0,540.0,23.5,108.94,102.0,97.01,58.7,34.91,22.49,38.31,28.23,13.089,28.37,37.16,26.72,70.29,79.93
1247.0,189.0,142.0,170.0,513.0,25.0,109.71,109.0,98.6,60.33,31.97,20.45,38.27,27.21,15.472,30.06,42.77,25.28,73.32,84.23
1050.0,191.0,136.0,177.0,500.0,18.0,103.14,105.0,90.8,53.82,31.15,20.14,36.98,26.31,14.148,27.57,37.63,23.38,67.42,78.23
1086.0,193.0,136.0,174.0,495.0,17.0,100.06,106.0,89.18,54.68,32.28,20.28,34.5,24.05,13.47,30.13,34.9,21.86,67.32,75.31
1065.0,195.0,146.0,194.0,553.0,20.0,108.55,104.0,97.79,57.31,31.27,20.98,40.48,29.97,14.302,27.76,37.33,25.85,71.94,80.43
1027.0,174.0,143.0,160.0,488.0,18.0,96.51,107.0,86.06,52.47,31.84,21.94,33.59,23.99,13.248,27.58,36.42,23.72,62.34,71.82
1190.0,197.0,135.0,188.0,510.0,20.5,103.45,107.0,88.74,56.92,34.57,22.6,31.82,20.33,14.087,28.26,35.11,24.02,64.72,76.11
1020.0,190.0,135.0,177.0,500.0,16.0,104.36,106.0,88.52,54.02,32.79,20.32,34.5,24.27,13.288,25.35,38.59,24.36,64.16,73.56
1093.0,181.0,132.0,175.0,475.0,18.0,105.46,100.0,91.39,56.54,32.08,20.84,34.85,23.59,13.994,27.85,34.81,20.8,70.59,78.25
1079.0,197.0,142.0,172.0,502.0,16.5,100.21,101.0,88.34,50.96,33.15,22.68,37.38,26.22,13.65,26.46,33.86,21.25,67.09,76.64
1213.0,192.0,136.0,175.0,490.0,20.5,106.69,106.0,91.59,55.44,29.01,19.53,36.15,25.25,13.628,28.29,39.33,23.33,68.26,78.35
1112.0,182.0,134.0,184.0,518.0,18.0,106.22,103.0,92.12,55.78,31.4,21.48,36.34,24.6,14.045,28.66,41.91,25.74,66.38,77.24
1128.0,190.0,148.0,175.0,509.0,20.0,114.61,109.0,100.77,60.44,32.33,22.06,40.33,27.86,15.361,29.06,37.19,27.02,73.75,87.1
1099.0,180.0,141.0,167.0,490.0,18.0,103.8,107.0,92.92,55.95,34.66,23.69,36.97,25.67,15.116,28.66,41.47,22.07,70.85,81.42
1080.0,183.0,152.0,166.0,509.0,19.0,102.08,112.0,93.24,57.26,32.5,21.8,35.98,25.66,13.55,26.16,34.42,22.35,70.89,79.84
1176.0,186.0,135.0,176.0,498.0,19.0,104.55,103.0,91.78,56.8,27.19,17.8,34.98,23.97,13.615,26.2,38.1,22.15,69.63,79.42
1157.0,168.0,135.0,176.0,494.0,22.0,100.55,109.0,89.95,55.54,31.68,21.39,34.41,24.11,14.363,29.82,42.65,24.04,65.91,75.96
1032.0,186.0,147.0,174.0,510.0,20.5,108.67,111.0,96.05,57.31,34.21,22.78,38.74,27.31,15.108,29.1,37.38,25.94,70.11,79.98
1130.0,184.0,137.0,176.0,498.0,19.5,109.77,108.0,98.53,59.41,32.89,20.56,39.12,26.9,15.727,29.13,42.7,24.26,74.27,84.39
1140.0,184.0,140.0,171.0,490.0,24.0,108.01,112.0,94.3,57.76,32.58,20.69,36.54,24.66,13.819,28.65,38.68,28.5,65.8,78.52
1117.0,171.0,132.0,179.0,498.0,20.5,106.7,111.0,94.6,58.26,30.13,19.37,36.34,25.86,14.942,26.61,39.05,27.04,67.56,80.23
1175.0,192.0,135.0,185.0,521.0,22.0,104.78,99.0,93.74,51.96,31.43,22.09,41.78,28.71,17.941,29.62,43.8,27.14,66.6,78.55
1298.0,216.0,146.0,192.0,543.0,26.0,113.66,111.0,100.93,61.58,37.11,24.59,39.35,26.86,15.176,30.63,40.36,27.39,73.54,86.93
1064.0,188.0,135.0,180.0,510.0,19.0,113.11,102.0,95.17,61.98,36.65,24.44,33.19,20.64,15.265,31.35,36.65,26.76,68.41,79.53
1292.0,216.0,143.0,181.0,516.0,26.0,117.79,111.0,101.01,60.41,31.04,18.48,40.6,29.92,15.746,27.23,37.12,25.06,75.95,86.21
1036.0,177.0,133.0,168.0,490.0,14.5,93.14,105.0,84.66,50.39,31.08,20.09,34.27,23.32,13.674,26.43,34.49,22.47,62.19,72.45
1072.0,175.0,138.0,178.0,510.0,17.0,98.28,102.0,83.88,49.7,32.64,20.86,34.18,25.53,12.44,27.13,43.78,24.58,59.3,68.7
1286.0,208.0,146.0,189.0,535.0,27.5,117.02,109.0,100.07,62.54,31.27,20.98,37.53,26.66,14.482,31.14,42.41,29.75,70.32,82.25
1138.0,176.0,149.0,168.0,504.0,22.5,100.19,111.0,90.07,51.16,32.46,19.99,38.91,27.1,16.208,27.19,34.72,24.01,66.06,76.7
1176.0,183.0,144.0,165.0,491.0,23.0,104.6,114.0,92.1,57.29,30.4,19.63,34.81,25.01,12.613,26.44,38.4,25.2,66.9,77.27
1236.0,202.0,145.0,182.0,520.0,25.5,114.03,111.0,102.36,63.07,36.05,21.13,39.29,27.12,14.488,30.79,37.38,25.07,77.29,86.67
1161.0,192.0,132.0,179.0,520.0,20.5,107.02,108.0,96.01,60.68,31.9,21.01,35.33,24.53,14.084,27.65,33.67,27.05,68.96,80.34
1201.0,180.0,135.0,186.0,516.0,22.0,104.37,108.0,90.48,54.91,31.42,21.06,35.57,23.65,14.218,26.53,38.73,26.06,64.42,73.48
1170.0,198.0,135.0,188.0,531.0,23.5,113.43,108.0,101.02,63.06,31.36,20.96,37.96,23.8,16.614,28.85,38.93,26.38,74.64,84.79
1102.0,181.0,136.0,180.0,510.0,19.0,110.86,102.0,93.22,58.53,33.69,21.91,34.69,23.19,14.288,24.59,37.44,27.44,65.78,75.86
1302.0,194.0,142.0,194.0,534.0,25.0,109.85,111.0,98.95,57.63,33.67,18.34,41.32,31.74,14.096,28.79,43.61,29.15,69.8,80.76
1338.0,185.0,151.0,183.0,535.0,29.0,115.37,111.0,103.51,64.04,33.54,22.29,39.47,28.37,15.811,29.39,41.4,30.89,72.62,84.43
1211.0,183.0,144.0,180.0,516.0,27.0,111.24,114.0,97.9,61.91,32.24,20.38,35.99,24.48,15.293,30.36,43.0,26.21,71.69,85.56
1296.0,208.0,148.0,181.0,523.0,25.0,114.05,113.0,100.13,56.91,32.25,20.77,43.22,31.68,15.683,28.92,42.8,23.84,76.29,86.84
1205.0,199.0,137.0,178.0,496.0,22.0,113.52,106.0,100.17,61.83,33.83,22.29,38.34,28.15,13.321,28.44,35.05,28.77,71.4,82.31
1262.0,216.0,145.0,182.0,515.0,22.5,113.24,110.0,99.11,62.75,37.62,24.48,36.36,25.39,15.727,29.51,42.84,27.56,71.55,83.41
1280.0,189.0,144.0,182.0,515.0,25.0,105.38,112.0,91.91,51.67,30.68,20.73,40.24,28.78,15.543,28.51,38.95,20.82,71.09,79.29
1193.0,200.0,137.0,187.0,530.0,23.0,102.81,107.0,87.21,50.08,30.87,20.24,37.13,28.19,13.169,28.43,41.83,24.73,62.48,71.47
1169.0,207.0,142.0,185.0,525.0,23.0,114.92,113.0,98.8,60.23,32.71,20.93,38.57,27.77,14.678,29.17,36.81,27.51,71.29,83.1
1089.0,185.0,140.0,167.0,490.0,19.0,102.23,102.0,92.09,57.03,32.52,20.74,35.06,25.51,13.705,28.8,35.33,24.79,67.3,79.84
1108.0,195.0,138.0,177.0,503.0,12.0,102.52,102.0,93.55,53.28,29.82,19.87,40.27,28.28,15.46,27.4,34.45,24.49,69.06,81.25
1207.0,205.0,153.0,178.0,527.0,20.5,110.48,106.0,98.8,61.12,29.78,19.34,37.68,25.37,15.66,29.38,39.52,26.39,72.41,83.81
1129.0,196.0,137.0,187.0,515.0,23.0,109.85,111.0,93.87,56.85,33.5,22.09,37.02,26.07,13.746,26.72,42.29,23.5,70.37,80.29
1205.0,199.0,138.0,188.0,520.0,20.5,120.12,102.0,103.9,63.41,31.84,20.3,40.49,27.68,15.748,28.5,32.87,26.08,77.82,88.61
1188.0,195.0,152.0,179.0,531.0,23.0,102.58,112.0,92.29,53.77,30.89,21.3,38.52,27.91,14.069,29.6,42.07,24.81,67.48,79.28
1195.0,195.0,139.0,188.0,524.0,22.0,110.92,106.0,96.83,61.19,32.8,21.64,35.64,24.02,13.929,29.22,41.82,26.17,70.66,82.86
1210.0,198.0,150.0,183.0,527.0,21.5,116.01,104.0,101.15,62.56,33.78,21.45,38.59,27.85,13.494,29.83,39.58,25.81,75.34,84.71
